#  Energy (eV) |  DOS (states/eV)
  -36.45752486    0.0000000000
  -36.43409136    0.0000000000
  -36.41065786    0.0000000000
  -36.38722436    0.0000000000
  -36.36379086    0.0000000000
  -36.34035736    0.0000000000
  -36.31692386    0.0000000000
  -36.29349037    0.0000000000
  -36.27005687    0.0000000000
  -36.24662337    0.0000000000
  -36.22318987    0.0000000000
  -36.19975637    0.0000000000
  -36.17632287    0.0000000000
  -36.15288937    0.0000000000
  -36.12945587    0.0000000000
  -36.10602237    0.0000000000
  -36.08258887    0.0000000000
  -36.05915537    0.0000000000
  -36.03572187    0.0000000000
  -36.01228838    0.0000000000
  -35.98885488    0.0000000000
  -35.96542138    0.0000000000
  -35.94198788    0.0000000000
  -35.91855438    0.0000000000
  -35.89512088    0.0000000000
  -35.87168738    0.0000000000
  -35.84825388    0.0000000000
  -35.82482038    0.0000000000
  -35.80138688    0.0000000000
  -35.77795338    0.0000000000
  -35.75451988    0.0000000000
  -35.73108639    0.0000000000
  -35.70765289    0.0000000000
  -35.68421939    0.0000000000
  -35.66078589    0.0000000000
  -35.63735239    0.0000000000
  -35.61391889    0.0000000000
  -35.59048539    0.0000000000
  -35.56705189    0.0000000000
  -35.54361839    0.0000000000
  -35.52018489    0.0000000000
  -35.49675139    0.0000000000
  -35.47331789    0.0000000000
  -35.44988440    0.0000000000
  -35.42645090    0.0000000000
  -35.40301740    0.0000000000
  -35.37958390    0.0000000000
  -35.35615040    0.0000000000
  -35.33271690    0.0000000000
  -35.30928340    0.0000000000
  -35.28584990    0.0000000000
  -35.26241640    0.0000000000
  -35.23898290    0.0000000000
  -35.21554940    0.0000000000
  -35.19211590    0.0000000000
  -35.16868241    0.0000000000
  -35.14524891    0.0000000000
  -35.12181541    0.0000000000
  -35.09838191    0.0000000000
  -35.07494841    0.0000000000
  -35.05151491    0.0000000000
  -35.02808141    0.0000000000
  -35.00464791    0.0000000000
  -34.98121441    0.0000000000
  -34.95778091    0.0000000000
  -34.93434741    0.0000000000
  -34.91091391    0.0000000000
  -34.88748042    0.0000000000
  -34.86404692    0.0000000000
  -34.84061342    0.0000000000
  -34.81717992    0.0000000000
  -34.79374642    0.0000000000
  -34.77031292    0.0000000000
  -34.74687942    0.0000000000
  -34.72344592    0.0000000000
  -34.70001242    0.0000000000
  -34.67657892    0.0000000000
  -34.65314542    0.0000000000
  -34.62971192    0.0000000000
  -34.60627843    0.0000000000
  -34.58284493    0.0000000000
  -34.55941143    0.0000000000
  -34.53597793    0.0000000000
  -34.51254443    0.0000000000
  -34.48911093    0.0000000000
  -34.46567743    0.0000000000
  -34.44224393    0.0000000000
  -34.41881043    0.0000000000
  -34.39537693    0.0000000000
  -34.37194343    0.0000000000
  -34.34850993    0.0000000000
  -34.32507644    0.0000000000
  -34.30164294    0.0000000000
  -34.27820944    0.0000000000
  -34.25477594    0.0000000000
  -34.23134244    0.0000000000
  -34.20790894    0.0000000000
  -34.18447544    0.0000000000
  -34.16104194    0.0000000000
  -34.13760844    0.0000000000
  -34.11417494    0.0000000000
  -34.09074144    0.0000000000
  -34.06730794    0.0000000000
  -34.04387445    0.0000000002
  -34.02044095    0.0000000014
  -33.99700745    0.0000000081
  -33.97357395    0.0000000452
  -33.95014045    0.0000002326
  -33.92670695    0.0000011094
  -33.90327345    0.0000049036
  -33.87983995    0.0000200851
  -33.85640645    0.0000762381
  -33.83297295    0.0002681689
  -33.80953945    0.0008741447
  -33.78610595    0.0026405648
  -33.76267246    0.0073917772
  -33.73923896    0.0191751810
  -33.71580546    0.0460965714
  -33.69237196    0.1026919335
