#  Energy (eV) |  DOS (states/eV)
  -26.40411829    0.0000000000
  -26.38601985    0.0000000000
  -26.36792141    0.0000000000
  -26.34982297    0.0000000000
  -26.33172452    0.0000000000
  -26.31362608    0.0000000000
  -26.29552764    0.0000000000
  -26.27742920    0.0000000000
  -26.25933076    0.0000000000
  -26.24123232    0.0000000000
  -26.22313388    0.0000000000
  -26.20503543    0.0000000000
  -26.18693699    0.0000000000
  -26.16883855    0.0000000000
  -26.15074011    0.0000000000
  -26.13264167    0.0000000000
  -26.11454323    0.0000000000
  -26.09644479    0.0000000000
  -26.07834635    0.0000000000
  -26.06024790    0.0000000000
  -26.04214946    0.0000000000
  -26.02405102    0.0000000000
  -26.00595258    0.0000000000
  -25.98785414    0.0000000000
  -25.96975570    0.0000000000
  -25.95165726    0.0000000000
  -25.93355882    0.0000000000
  -25.91546037    0.0000000000
  -25.89736193    0.0000000000
  -25.87926349    0.0000000000
  -25.86116505    0.0000000000
  -25.84306661    0.0000000000
  -25.82496817    0.0000000000
  -25.80686973    0.0000000000
  -25.78877128    0.0000000000
  -25.77067284    0.0000000000
  -25.75257440    0.0000000000
  -25.73447596    0.0000000000
  -25.71637752    0.0000000000
  -25.69827908    0.0000000000
  -25.68018064    0.0000000000
  -25.66208220    0.0000000000
  -25.64398375    0.0000000000
  -25.62588531    0.0000000000
  -25.60778687    0.0000000000
  -25.58968843    0.0000000000
  -25.57158999    0.0000000000
  -25.55349155    0.0000000000
  -25.53539311    0.0000000000
  -25.51729466    0.0000000000
  -25.49919622    0.0000000000
  -25.48109778    0.0000000000
  -25.46299934    0.0000000000
  -25.44490090    0.0000000000
  -25.42680246    0.0000000000
  -25.40870402    0.0000000000
  -25.39060558    0.0000000000
  -25.37250713    0.0000000000
  -25.35440869    0.0000000000
  -25.33631025    0.0000000000
  -25.31821181    0.0000000000
  -25.30011337    0.0000000000
  -25.28201493    0.0000000000
  -25.26391649    0.0000000000
  -25.24581805    0.0000000000
  -25.22771960    0.0000000000
  -25.20962116    0.0000000000
  -25.19152272    0.0000000000
  -25.17342428    0.0000000000
  -25.15532584    0.0000000000
  -25.13722740    0.0000000000
  -25.11912896    0.0000000000
  -25.10103051    0.0000000000
  -25.08293207    0.0000000000
  -25.06483363    0.0000000000
  -25.04673519    0.0000000000
  -25.02863675    0.0000000000
  -25.01053831    0.0000000000
  -24.99243987    0.0000000000
  -24.97434143    0.0000000000
  -24.95624298    0.0000000000
  -24.93814454    0.0000000000
  -24.92004610    0.0000000000
  -24.90194766    0.0000000000
  -24.88384922    0.0000000000
  -24.86575078    0.0000000000
  -24.84765234    0.0000000000
  -24.82955390    0.0000000000
  -24.81145545    0.0000000000
  -24.79335701    0.0000000000
  -24.77525857    0.0000000000
  -24.75716013    0.0000000000
  -24.73906169    0.0000000000
  -24.72096325    0.0000000000
  -24.70286481    0.0000000000
  -24.68476636    0.0000000000
  -24.66666792    0.0000000000
  -24.64856948    0.0000000000
  -24.63047104    0.0000000000
  -24.61237260    0.0000000000
  -24.59427416    0.0000000000
  -24.57617572    0.0000000000
  -24.55807728    0.0000000000
  -24.53997883    0.0000000000
  -24.52188039    0.0000000000
  -24.50378195    0.0000000000
  -24.48568351    0.0000000000
  -24.46758507    0.0000000000
  -24.44948663    0.0000000000
  -24.43138819    0.0000000000
  -24.41328974    0.0000000000
  -24.39519130    0.0000000000
  -24.37709286    0.0000000000
  -24.35899442    0.0000000000
  -24.34089598    0.0000000000
  -24.32279754    0.0000000000
  -24.30469910    0.0000000000
  -24.28660066    0.0000000000
  -24.26850221    0.0000000000
  -24.25040377    0.0000000000
  -24.23230533    0.0000000000
  -24.21420689    0.0000000000
  -24.19610845    0.0000000000
  -24.17801001    0.0000000000
  -24.15991157    0.0000000000
  -24.14181313    0.0000000000
  -24.12371468    0.0000000000
  -24.10561624    0.0000000000
  -24.08751780    0.0000000000
  -24.06941936    0.0000000000
  -24.05132092    0.0000000000
  -24.03322248    0.0000000000
  -24.01512404    0.0000000000
  -23.99702559    0.0000000001
  -23.97892715    0.0000000005
  -23.96082871    0.0000000022
  -23.94273027    0.0000000087
  -23.92463183    0.0000000328
  -23.90653339    0.0000001183
  -23.88843495    0.0000004080
  -23.87033651    0.0000013445
  -23.85223806    0.0000042336
  -23.83413962    0.0000127393
  -23.81604118    0.0000366318
  -23.79794274    0.0001006588
  -23.77984430    0.0002643162
  -23.76174586    0.0006632463
  -23.74364742    0.0015903939
  -23.72554897    0.0036442953
  -23.70745053    0.0079799722
  -23.68935209    0.0166981418
  -23.67125365    0.0333898040
  -23.65315521    0.0638026252
  -23.63505677    0.1165043610
  -23.61695833    0.2032940985
  -23.59885989    0.3389895543
  -23.58076144    0.5401654664
  -23.56266300    0.8225196282
  -23.54456456    1.1968636593
  -23.52646612    1.6642633367
  -23.50836768    2.2114563234
  -23.49026924    2.8081069354
  -23.47217080    3.4074372992
  -23.45407236    3.9511276359
  -23.43597391    4.3781758450
  -23.41787547    4.6360092857
  -23.39977703    4.6910963066
  -23.38167859    4.5361076852
  -23.36358015    4.1915178327
  -23.34548171    3.7011632019
  -23.32738327    3.1230871850
  -23.30928482    2.5183085278
  -23.29118638    1.9404958542
  -23.27308794    1.4288790132
  -23.25498950    1.0054422966
  -23.23689106    0.6760795502
  -23.21879262    0.4344275947
  -23.20069418    0.2667570849
  -23.18259574    0.1565285194
  -23.16449729    0.0877707778
  -23.14639885    0.0470311255
  -23.12830041    0.0240823992
  -23.11020197    0.0117840096
  -23.09210353    0.0055101748
  -23.07400509    0.0024621620
  -23.05590665    0.0010513488
  -23.03780821    0.0004289987
  -23.01970976    0.0001672800
  -23.00161132    0.0000623320
  -22.98351288    0.0000221951
  -22.96541444    0.0000075524
  -22.94731600    0.0000024558
  -22.92921756    0.0000007631
  -22.91111912    0.0000002266
  -22.89302067    0.0000000643
  -22.87492223    0.0000000174
  -22.85682379    0.0000000045
  -22.83872535    0.0000000011
  -22.82062691    0.0000000003
  -22.80252847    0.0000000001
  -22.78443003    0.0000000000
  -22.76633159    0.0000000000
  -22.74823314    0.0000000000
  -22.73013470    0.0000000000
  -22.71203626    0.0000000000
  -22.69393782    0.0000000000
  -22.67583938    0.0000000000
  -22.65774094    0.0000000000
  -22.63964250    0.0000000000
  -22.62154405    0.0000000000
  -22.60344561    0.0000000000
  -22.58534717    0.0000000000
  -22.56724873    0.0000000000
  -22.54915029    0.0000000000
  -22.53105185    0.0000000000
  -22.51295341    0.0000000000
  -22.49485497    0.0000000000
  -22.47675652    0.0000000000
  -22.45865808    0.0000000000
  -22.44055964    0.0000000000
  -22.42246120    0.0000000000
  -22.40436276    0.0000000000
  -22.38626432    0.0000000000
  -22.36816588    0.0000000000
  -22.35006744    0.0000000000
  -22.33196899    0.0000000000
  -22.31387055    0.0000000000
  -22.29577211    0.0000000000
  -22.27767367    0.0000000000
  -22.25957523    0.0000000000
  -22.24147679    0.0000000000
  -22.22337835    0.0000000000
  -22.20527990    0.0000000000
  -22.18718146    0.0000000000
  -22.16908302    0.0000000000
  -22.15098458    0.0000000000
  -22.13288614    0.0000000000
  -22.11478770    0.0000000000
  -22.09668926    0.0000000000
  -22.07859082    0.0000000000
  -22.06049237    0.0000000000
  -22.04239393    0.0000000000
  -22.02429549    0.0000000000
  -22.00619705    0.0000000000
  -21.98809861    0.0000000000
  -21.97000017    0.0000000000
  -21.95190173    0.0000000000
  -21.93380328    0.0000000000
  -21.91570484    0.0000000000
  -21.89760640    0.0000000000
  -21.87950796    0.0000000000
  -21.86140952    0.0000000000
  -21.84331108    0.0000000000
  -21.82521264    0.0000000000
  -21.80711420    0.0000000000
  -21.78901575    0.0000000000
  -21.77091731    0.0000000000
  -21.75281887    0.0000000000
  -21.73472043    0.0000000000
  -21.71662199    0.0000000000
  -21.69852355    0.0000000000
  -21.68042511    0.0000000000
  -21.66232667    0.0000000000
  -21.64422822    0.0000000000
  -21.62612978    0.0000000000
  -21.60803134    0.0000000000
  -21.58993290    0.0000000000
  -21.57183446    0.0000000000
  -21.55373602    0.0000000000
  -21.53563758    0.0000000000
  -21.51753913    0.0000000000
  -21.49944069    0.0000000000
  -21.48134225    0.0000000000
  -21.46324381    0.0000000000
  -21.44514537    0.0000000000
  -21.42704693    0.0000000000
  -21.40894849    0.0000000000
  -21.39085005    0.0000000000
  -21.37275160    0.0000000000
  -21.35465316    0.0000000000
  -21.33655472    0.0000000000
  -21.31845628    0.0000000000
  -21.30035784    0.0000000000
  -21.28225940    0.0000000000
  -21.26416096    0.0000000000
  -21.24606251    0.0000000000
  -21.22796407    0.0000000000
  -21.20986563    0.0000000000
  -21.19176719    0.0000000000
  -21.17366875    0.0000000000
  -21.15557031    0.0000000000
  -21.13747187    0.0000000000
  -21.11937343    0.0000000000
  -21.10127498    0.0000000000
  -21.08317654    0.0000000000
  -21.06507810    0.0000000000
  -21.04697966    0.0000000000
  -21.02888122    0.0000000000
  -21.01078278    0.0000000000
  -20.99268434    0.0000000000
  -20.97458590    0.0000000000
  -20.95648745    0.0000000000
  -20.93838901    0.0000000000
  -20.92029057    0.0000000000
  -20.90219213    0.0000000000
  -20.88409369    0.0000000000
  -20.86599525    0.0000000000
  -20.84789681    0.0000000000
  -20.82979836    0.0000000000
  -20.81169992    0.0000000000
  -20.79360148    0.0000000000
  -20.77550304    0.0000000000
  -20.75740460    0.0000000000
  -20.73930616    0.0000000000
  -20.72120772    0.0000000000
  -20.70310928    0.0000000000
  -20.68501083    0.0000000000
  -20.66691239    0.0000000000
  -20.64881395    0.0000000000
  -20.63071551    0.0000000000
  -20.61261707    0.0000000000
  -20.59451863    0.0000000000
  -20.57642019    0.0000000000
  -20.55832175    0.0000000000
  -20.54022330    0.0000000000
  -20.52212486    0.0000000000
  -20.50402642    0.0000000000
  -20.48592798    0.0000000000
  -20.46782954    0.0000000000
  -20.44973110    0.0000000000
  -20.43163266    0.0000000000
  -20.41353421    0.0000000000
  -20.39543577    0.0000000000
  -20.37733733    0.0000000000
  -20.35923889    0.0000000000
  -20.34114045    0.0000000000
  -20.32304201    0.0000000000
  -20.30494357    0.0000000000
  -20.28684513    0.0000000000
  -20.26874668    0.0000000000
  -20.25064824    0.0000000000
  -20.23254980    0.0000000000
  -20.21445136    0.0000000000
  -20.19635292    0.0000000000
  -20.17825448    0.0000000000
  -20.16015604    0.0000000000
  -20.14205759    0.0000000000
  -20.12395915    0.0000000000
  -20.10586071    0.0000000000
  -20.08776227    0.0000000000
  -20.06966383    0.0000000000
  -20.05156539    0.0000000000
  -20.03346695    0.0000000000
  -20.01536851    0.0000000000
  -19.99727006    0.0000000000
  -19.97917162    0.0000000000
  -19.96107318    0.0000000000
  -19.94297474    0.0000000000
  -19.92487630    0.0000000000
  -19.90677786    0.0000000000
  -19.88867942    0.0000000000
  -19.87058098    0.0000000000
  -19.85248253    0.0000000000
  -19.83438409    0.0000000000
  -19.81628565    0.0000000000
  -19.79818721    0.0000000000
  -19.78008877    0.0000000000
  -19.76199033    0.0000000000
  -19.74389189    0.0000000000
  -19.72579344    0.0000000000
  -19.70769500    0.0000000000
  -19.68959656    0.0000000000
  -19.67149812    0.0000000000
  -19.65339968    0.0000000000
  -19.63530124    0.0000000000
  -19.61720280    0.0000000000
  -19.59910436    0.0000000000
  -19.58100591    0.0000000000
  -19.56290747    0.0000000000
  -19.54480903    0.0000000000
  -19.52671059    0.0000000000
  -19.50861215    0.0000000000
  -19.49051371    0.0000000000
  -19.47241527    0.0000000000
  -19.45431682    0.0000000000
  -19.43621838    0.0000000000
  -19.41811994    0.0000000000
  -19.40002150    0.0000000000
  -19.38192306    0.0000000000
  -19.36382462    0.0000000000
  -19.34572618    0.0000000000
  -19.32762774    0.0000000000
  -19.30952929    0.0000000000
  -19.29143085    0.0000000000
  -19.27333241    0.0000000000
  -19.25523397    0.0000000000
  -19.23713553    0.0000000000
  -19.21903709    0.0000000000
  -19.20093865    0.0000000000
  -19.18284021    0.0000000000
  -19.16474176    0.0000000000
  -19.14664332    0.0000000000
  -19.12854488    0.0000000000
  -19.11044644    0.0000000000
  -19.09234800    0.0000000000
  -19.07424956    0.0000000000
  -19.05615112    0.0000000000
  -19.03805267    0.0000000000
  -19.01995423    0.0000000000
  -19.00185579    0.0000000000
  -18.98375735    0.0000000000
  -18.96565891    0.0000000000
  -18.94756047    0.0000000000
  -18.92946203    0.0000000000
  -18.91136359    0.0000000000
  -18.89326514    0.0000000000
  -18.87516670    0.0000000000
  -18.85706826    0.0000000000
  -18.83896982    0.0000000000
  -18.82087138    0.0000000000
  -18.80277294    0.0000000000
  -18.78467450    0.0000000000
  -18.76657606    0.0000000000
  -18.74847761    0.0000000000
  -18.73037917    0.0000000000
  -18.71228073    0.0000000000
  -18.69418229    0.0000000000
  -18.67608385    0.0000000000
  -18.65798541    0.0000000000
  -18.63988697    0.0000000000
  -18.62178852    0.0000000000
  -18.60369008    0.0000000000
  -18.58559164    0.0000000000
  -18.56749320    0.0000000000
  -18.54939476    0.0000000000
  -18.53129632    0.0000000000
  -18.51319788    0.0000000000
  -18.49509944    0.0000000000
  -18.47700099    0.0000000000
  -18.45890255    0.0000000000
  -18.44080411    0.0000000000
  -18.42270567    0.0000000000
  -18.40460723    0.0000000000
  -18.38650879    0.0000000000
  -18.36841035    0.0000000000
  -18.35031190    0.0000000000
  -18.33221346    0.0000000000
  -18.31411502    0.0000000000
  -18.29601658    0.0000000000
  -18.27791814    0.0000000000
  -18.25981970    0.0000000000
  -18.24172126    0.0000000000
  -18.22362282    0.0000000000
  -18.20552437    0.0000000000
  -18.18742593    0.0000000000
  -18.16932749    0.0000000000
  -18.15122905    0.0000000000
  -18.13313061    0.0000000000
  -18.11503217    0.0000000000
  -18.09693373    0.0000000000
  -18.07883529    0.0000000000
  -18.06073684    0.0000000000
  -18.04263840    0.0000000000
  -18.02453996    0.0000000000
  -18.00644152    0.0000000000
  -17.98834308    0.0000000000
  -17.97024464    0.0000000000
  -17.95214620    0.0000000000
  -17.93404775    0.0000000000
  -17.91594931    0.0000000000
  -17.89785087    0.0000000000
  -17.87975243    0.0000000000
  -17.86165399    0.0000000000
  -17.84355555    0.0000000000
  -17.82545711    0.0000000000
  -17.80735867    0.0000000000
  -17.78926022    0.0000000000
  -17.77116178    0.0000000000
  -17.75306334    0.0000000000
  -17.73496490    0.0000000000
  -17.71686646    0.0000000000
  -17.69876802    0.0000000000
  -17.68066958    0.0000000000
  -17.66257113    0.0000000000
  -17.64447269    0.0000000000
  -17.62637425    0.0000000000
  -17.60827581    0.0000000000
  -17.59017737    0.0000000000
  -17.57207893    0.0000000000
  -17.55398049    0.0000000000
  -17.53588205    0.0000000000
  -17.51778360    0.0000000000
  -17.49968516    0.0000000000
  -17.48158672    0.0000000000
  -17.46348828    0.0000000000
  -17.44538984    0.0000000000
  -17.42729140    0.0000000000
  -17.40919296    0.0000000000
  -17.39109452    0.0000000000
  -17.37299607    0.0000000000
  -17.35489763    0.0000000000
  -17.33679919    0.0000000000
  -17.31870075    0.0000000000
  -17.30060231    0.0000000000
  -17.28250387    0.0000000000
  -17.26440543    0.0000000000
  -17.24630698    0.0000000000
  -17.22820854    0.0000000000
  -17.21011010    0.0000000000
  -17.19201166    0.0000000000
  -17.17391322    0.0000000000
  -17.15581478    0.0000000000
  -17.13771634    0.0000000000
  -17.11961790    0.0000000000
  -17.10151945    0.0000000000
  -17.08342101    0.0000000000
  -17.06532257    0.0000000000
  -17.04722413    0.0000000000
  -17.02912569    0.0000000000
  -17.01102725    0.0000000000
  -16.99292881    0.0000000000
  -16.97483036    0.0000000000
  -16.95673192    0.0000000000
  -16.93863348    0.0000000000
  -16.92053504    0.0000000000
  -16.90243660    0.0000000000
  -16.88433816    0.0000000000
  -16.86623972    0.0000000000
  -16.84814128    0.0000000000
  -16.83004283    0.0000000000
  -16.81194439    0.0000000000
  -16.79384595    0.0000000000
  -16.77574751    0.0000000000
  -16.75764907    0.0000000000
  -16.73955063    0.0000000000
  -16.72145219    0.0000000000
  -16.70335375    0.0000000000
  -16.68525530    0.0000000000
  -16.66715686    0.0000000000
  -16.64905842    0.0000000000
  -16.63095998    0.0000000000
  -16.61286154    0.0000000000
  -16.59476310    0.0000000000
  -16.57666466    0.0000000000
  -16.55856621    0.0000000000
  -16.54046777    0.0000000000
  -16.52236933    0.0000000000
  -16.50427089    0.0000000000
  -16.48617245    0.0000000000
  -16.46807401    0.0000000000
  -16.44997557    0.0000000000
  -16.43187713    0.0000000000
  -16.41377868    0.0000000000
  -16.39568024    0.0000000000
  -16.37758180    0.0000000000
  -16.35948336    0.0000000000
  -16.34138492    0.0000000000
  -16.32328648    0.0000000000
  -16.30518804    0.0000000000
  -16.28708960    0.0000000000
  -16.26899115    0.0000000000
  -16.25089271    0.0000000000
  -16.23279427    0.0000000000
  -16.21469583    0.0000000000
  -16.19659739    0.0000000000
  -16.17849895    0.0000000000
  -16.16040051    0.0000000000
  -16.14230206    0.0000000000
  -16.12420362    0.0000000000
  -16.10610518    0.0000000000
  -16.08800674    0.0000000000
  -16.06990830    0.0000000000
  -16.05180986    0.0000000000
  -16.03371142    0.0000000000
  -16.01561298    0.0000000000
  -15.99751453    0.0000000000
  -15.97941609    0.0000000000
  -15.96131765    0.0000000000
  -15.94321921    0.0000000000
  -15.92512077    0.0000000000
  -15.90702233    0.0000000000
  -15.88892389    0.0000000000
  -15.87082544    0.0000000000
  -15.85272700    0.0000000000
  -15.83462856    0.0000000000
  -15.81653012    0.0000000000
  -15.79843168    0.0000000000
  -15.78033324    0.0000000000
  -15.76223480    0.0000000000
  -15.74413636    0.0000000000
  -15.72603791    0.0000000000
  -15.70793947    0.0000000000
  -15.68984103    0.0000000000
  -15.67174259    0.0000000000
  -15.65364415    0.0000000000
  -15.63554571    0.0000000000
  -15.61744727    0.0000000000
  -15.59934883    0.0000000000
  -15.58125038    0.0000000000
  -15.56315194    0.0000000000
  -15.54505350    0.0000000000
  -15.52695506    0.0000000000
  -15.50885662    0.0000000000
  -15.49075818    0.0000000000
  -15.47265974    0.0000000000
  -15.45456129    0.0000000000
  -15.43646285    0.0000000000
  -15.41836441    0.0000000000
  -15.40026597    0.0000000000
  -15.38216753    0.0000000000
  -15.36406909    0.0000000000
  -15.34597065    0.0000000000
  -15.32787221    0.0000000000
  -15.30977376    0.0000000000
  -15.29167532    0.0000000000
  -15.27357688    0.0000000000
  -15.25547844    0.0000000000
  -15.23738000    0.0000000000
  -15.21928156    0.0000000000
  -15.20118312    0.0000000000
  -15.18308467    0.0000000000
  -15.16498623    0.0000000000
  -15.14688779    0.0000000000
  -15.12878935    0.0000000000
  -15.11069091    0.0000000000
  -15.09259247    0.0000000000
  -15.07449403    0.0000000000
  -15.05639559    0.0000000000
  -15.03829714    0.0000000000
  -15.02019870    0.0000000000
  -15.00210026    0.0000000000
  -14.98400182    0.0000000000
  -14.96590338    0.0000000000
  -14.94780494    0.0000000000
  -14.92970650    0.0000000000
  -14.91160806    0.0000000000
  -14.89350961    0.0000000000
  -14.87541117    0.0000000000
  -14.85731273    0.0000000000
  -14.83921429    0.0000000000
  -14.82111585    0.0000000000
  -14.80301741    0.0000000000
  -14.78491897    0.0000000000
  -14.76682052    0.0000000000
  -14.74872208    0.0000000000
  -14.73062364    0.0000000000
  -14.71252520    0.0000000000
  -14.69442676    0.0000000000
  -14.67632832    0.0000000000
  -14.65822988    0.0000000000
