#  Energy (eV) |  DOS (states/eV)
  -26.55102884    0.0000000000
  -26.53289410    0.0000000000
  -26.51475935    0.0000000000
  -26.49662461    0.0000000000
  -26.47848986    0.0000000000
  -26.46035512    0.0000000000
  -26.44222037    0.0000000000
  -26.42408563    0.0000000000
  -26.40595088    0.0000000000
  -26.38781614    0.0000000000
  -26.36968139    0.0000000000
  -26.35154665    0.0000000000
  -26.33341191    0.0000000000
  -26.31527716    0.0000000000
  -26.29714242    0.0000000000
  -26.27900767    0.0000000000
  -26.26087293    0.0000000000
  -26.24273818    0.0000000000
  -26.22460344    0.0000000000
  -26.20646869    0.0000000000
  -26.18833395    0.0000000000
  -26.17019920    0.0000000000
  -26.15206446    0.0000000000
  -26.13392971    0.0000000000
  -26.11579497    0.0000000000
  -26.09766023    0.0000000000
  -26.07952548    0.0000000000
  -26.06139074    0.0000000000
  -26.04325599    0.0000000000
  -26.02512125    0.0000000000
  -26.00698650    0.0000000000
  -25.98885176    0.0000000000
  -25.97071701    0.0000000000
  -25.95258227    0.0000000000
  -25.93444752    0.0000000000
  -25.91631278    0.0000000000
  -25.89817803    0.0000000000
  -25.88004329    0.0000000000
  -25.86190854    0.0000000000
  -25.84377380    0.0000000000
  -25.82563906    0.0000000000
  -25.80750431    0.0000000000
  -25.78936957    0.0000000000
  -25.77123482    0.0000000000
  -25.75310008    0.0000000000
  -25.73496533    0.0000000000
  -25.71683059    0.0000000000
  -25.69869584    0.0000000000
  -25.68056110    0.0000000000
  -25.66242635    0.0000000000
  -25.64429161    0.0000000000
  -25.62615686    0.0000000000
  -25.60802212    0.0000000000
  -25.58988738    0.0000000000
  -25.57175263    0.0000000000
  -25.55361789    0.0000000000
  -25.53548314    0.0000000000
  -25.51734840    0.0000000000
  -25.49921365    0.0000000000
  -25.48107891    0.0000000000
  -25.46294416    0.0000000000
  -25.44480942    0.0000000000
  -25.42667467    0.0000000000
  -25.40853993    0.0000000000
  -25.39040518    0.0000000000
  -25.37227044    0.0000000000
  -25.35413570    0.0000000000
  -25.33600095    0.0000000000
  -25.31786621    0.0000000000
  -25.29973146    0.0000000000
  -25.28159672    0.0000000000
  -25.26346197    0.0000000000
  -25.24532723    0.0000000000
  -25.22719248    0.0000000000
  -25.20905774    0.0000000000
  -25.19092299    0.0000000000
  -25.17278825    0.0000000000
  -25.15465350    0.0000000000
  -25.13651876    0.0000000000
  -25.11838402    0.0000000000
  -25.10024927    0.0000000000
  -25.08211453    0.0000000000
  -25.06397978    0.0000000000
  -25.04584504    0.0000000000
  -25.02771029    0.0000000000
  -25.00957555    0.0000000000
  -24.99144080    0.0000000000
  -24.97330606    0.0000000000
  -24.95517131    0.0000000000
  -24.93703657    0.0000000000
  -24.91890182    0.0000000000
  -24.90076708    0.0000000000
  -24.88263233    0.0000000000
  -24.86449759    0.0000000000
  -24.84636285    0.0000000000
  -24.82822810    0.0000000000
  -24.81009336    0.0000000000
  -24.79195861    0.0000000000
  -24.77382387    0.0000000000
  -24.75568912    0.0000000000
  -24.73755438    0.0000000000
  -24.71941963    0.0000000000
  -24.70128489    0.0000000000
  -24.68315014    0.0000000000
  -24.66501540    0.0000000000
  -24.64688065    0.0000000000
  -24.62874591    0.0000000000
  -24.61061117    0.0000000000
  -24.59247642    0.0000000000
  -24.57434168    0.0000000000
  -24.55620693    0.0000000000
  -24.53807219    0.0000000000
  -24.51993744    0.0000000000
  -24.50180270    0.0000000000
  -24.48366795    0.0000000000
  -24.46553321    0.0000000000
  -24.44739846    0.0000000000
  -24.42926372    0.0000000000
  -24.41112897    0.0000000000
  -24.39299423    0.0000000000
  -24.37485949    0.0000000000
  -24.35672474    0.0000000000
  -24.33859000    0.0000000000
  -24.32045525    0.0000000000
  -24.30232051    0.0000000000
  -24.28418576    0.0000000000
  -24.26605102    0.0000000000
  -24.24791627    0.0000000000
  -24.22978153    0.0000000000
  -24.21164678    0.0000000000
  -24.19351204    0.0000000000
  -24.17537729    0.0000000000
  -24.15724255    0.0000000000
  -24.13910780    0.0000000002
  -24.12097306    0.0000000008
  -24.10283832    0.0000000032
  -24.08470357    0.0000000125
  -24.06656883    0.0000000469
  -24.04843408    0.0000001674
  -24.03029934    0.0000005715
  -24.01216459    0.0000018640
  -23.99402985    0.0000058080
  -23.97589510    0.0000172906
  -23.95776036    0.0000491810
  -23.93962561    0.0001336542
  -23.92149087    0.0003470309
  -23.90335612    0.0008609012
  -23.88522138    0.0020405076
  -23.86708664    0.0046208609
  -23.84895189    0.0099978664
  -23.83081715    0.0206676702
  -23.81268240    0.0408202327
  -23.79454766    0.0770298744
  -23.77641291    0.1388809449
  -23.75827817    0.2392356490
  -23.74014342    0.3937394115
  -23.72200868    0.6191439592
  -23.70387393    0.9301953238
  -23.68573919    1.3352310518
  -23.66760444    1.8312112806
  -23.64946970    2.3994971926
  -23.63133496    3.0040129255
  -23.61320021    3.5932142023
  -23.59506547    4.1064276723
  -23.57693072    4.4837873556
  -23.55879598    4.6776271081
  -23.54066123    4.6623615356
  -23.52252649    4.4400315527
  -23.50439174    4.0398563751
  -23.48625700    3.5119275991
  -23.46812225    2.9169228491
  -23.44998751    2.3147499883
  -23.43185276    1.7550237519
  -23.41371802    1.2713398673
  -23.39558327    0.8799137279
  -23.37744853    0.5818597023
  -23.35931379    0.3676175422
  -23.34117904    0.2219084979
  -23.32304430    0.1279827389
  -23.30490955    0.0705226504
  -23.28677481    0.0371283468
  -23.26864006    0.0186759351
  -23.25050532    0.0089755044
  -23.23237057    0.0041213085
  -23.21423583    0.0018080530
  -23.19610108    0.0007578564
  -23.17796634    0.0003035026
  -23.15983159    0.0001161282
  -23.14169685    0.0000424534
  -23.12356211    0.0000148282
  -23.10542736    0.0000049484
  -23.08729262    0.0000015777
  -23.06915787    0.0000004806
  -23.05102313    0.0000001399
  -23.03288838    0.0000000389
  -23.01475364    0.0000000103
  -22.99661889    0.0000000026
  -22.97848415    0.0000000006
  -22.96034940    0.0000000001
  -22.94221466    0.0000000000
  -22.92407991    0.0000000000
  -22.90594517    0.0000000000
  -22.88781043    0.0000000000
  -22.86967568    0.0000000000
  -22.85154094    0.0000000000
  -22.83340619    0.0000000000
  -22.81527145    0.0000000000
  -22.79713670    0.0000000000
  -22.77900196    0.0000000000
  -22.76086721    0.0000000000
  -22.74273247    0.0000000000
  -22.72459772    0.0000000000
  -22.70646298    0.0000000000
  -22.68832823    0.0000000000
  -22.67019349    0.0000000000
  -22.65205874    0.0000000000
  -22.63392400    0.0000000000
  -22.61578926    0.0000000000
  -22.59765451    0.0000000000
  -22.57951977    0.0000000000
  -22.56138502    0.0000000000
  -22.54325028    0.0000000000
  -22.52511553    0.0000000000
  -22.50698079    0.0000000000
  -22.48884604    0.0000000000
  -22.47071130    0.0000000000
  -22.45257655    0.0000000000
  -22.43444181    0.0000000000
  -22.41630706    0.0000000000
  -22.39817232    0.0000000000
  -22.38003758    0.0000000000
  -22.36190283    0.0000000000
  -22.34376809    0.0000000000
  -22.32563334    0.0000000000
  -22.30749860    0.0000000000
  -22.28936385    0.0000000000
  -22.27122911    0.0000000000
  -22.25309436    0.0000000000
  -22.23495962    0.0000000000
  -22.21682487    0.0000000000
  -22.19869013    0.0000000000
  -22.18055538    0.0000000000
  -22.16242064    0.0000000000
  -22.14428590    0.0000000000
  -22.12615115    0.0000000000
  -22.10801641    0.0000000000
  -22.08988166    0.0000000000
  -22.07174692    0.0000000000
  -22.05361217    0.0000000000
  -22.03547743    0.0000000000
  -22.01734268    0.0000000000
  -21.99920794    0.0000000000
  -21.98107319    0.0000000000
  -21.96293845    0.0000000000
  -21.94480370    0.0000000000
  -21.92666896    0.0000000000
  -21.90853422    0.0000000000
  -21.89039947    0.0000000000
  -21.87226473    0.0000000000
  -21.85412998    0.0000000000
  -21.83599524    0.0000000000
  -21.81786049    0.0000000000
  -21.79972575    0.0000000000
  -21.78159100    0.0000000000
  -21.76345626    0.0000000000
  -21.74532151    0.0000000000
  -21.72718677    0.0000000000
  -21.70905202    0.0000000000
  -21.69091728    0.0000000000
  -21.67278253    0.0000000000
  -21.65464779    0.0000000000
  -21.63651305    0.0000000000
  -21.61837830    0.0000000000
  -21.60024356    0.0000000000
  -21.58210881    0.0000000000
  -21.56397407    0.0000000000
  -21.54583932    0.0000000000
  -21.52770458    0.0000000000
  -21.50956983    0.0000000000
  -21.49143509    0.0000000000
  -21.47330034    0.0000000000
  -21.45516560    0.0000000000
  -21.43703085    0.0000000000
  -21.41889611    0.0000000000
  -21.40076137    0.0000000000
  -21.38262662    0.0000000000
  -21.36449188    0.0000000000
  -21.34635713    0.0000000000
  -21.32822239    0.0000000000
  -21.31008764    0.0000000000
  -21.29195290    0.0000000000
  -21.27381815    0.0000000000
  -21.25568341    0.0000000000
  -21.23754866    0.0000000000
  -21.21941392    0.0000000000
  -21.20127917    0.0000000000
  -21.18314443    0.0000000000
  -21.16500969    0.0000000000
  -21.14687494    0.0000000000
  -21.12874020    0.0000000000
