#  Energy (eV) |  DOS (states/eV)
  -26.05144259    0.0000000000
  -26.02960664    0.0000000000
  -26.00777069    0.0000000000
  -25.98593475    0.0000000000
  -25.96409880    0.0000000000
  -25.94226285    0.0000000000
  -25.92042690    0.0000000000
  -25.89859096    0.0000000000
  -25.87675501    0.0000000000
  -25.85491906    0.0000000000
  -25.83308312    0.0000000000
  -25.81124717    0.0000000000
  -25.78941122    0.0000000000
  -25.76757527    0.0000000000
  -25.74573933    0.0000000000
  -25.72390338    0.0000000000
  -25.70206743    0.0000000000
  -25.68023149    0.0000000000
  -25.65839554    0.0000000000
  -25.63655959    0.0000000000
  -25.61472364    0.0000000000
  -25.59288770    0.0000000000
  -25.57105175    0.0000000000
  -25.54921580    0.0000000000
  -25.52737985    0.0000000000
  -25.50554391    0.0000000000
  -25.48370796    0.0000000000
  -25.46187201    0.0000000000
  -25.44003607    0.0000000000
  -25.41820012    0.0000000000
  -25.39636417    0.0000000000
  -25.37452822    0.0000000000
  -25.35269228    0.0000000000
  -25.33085633    0.0000000000
  -25.30902038    0.0000000000
  -25.28718444    0.0000000000
  -25.26534849    0.0000000000
  -25.24351254    0.0000000000
  -25.22167659    0.0000000000
  -25.19984065    0.0000000000
  -25.17800470    0.0000000000
  -25.15616875    0.0000000000
  -25.13433281    0.0000000000
  -25.11249686    0.0000000000
  -25.09066091    0.0000000000
  -25.06882496    0.0000000000
  -25.04698902    0.0000000000
  -25.02515307    0.0000000000
  -25.00331712    0.0000000000
  -24.98148118    0.0000000000
  -24.95964523    0.0000000000
  -24.93780928    0.0000000000
  -24.91597333    0.0000000000
  -24.89413739    0.0000000000
  -24.87230144    0.0000000000
  -24.85046549    0.0000000000
  -24.82862955    0.0000000000
  -24.80679360    0.0000000000
  -24.78495765    0.0000000000
  -24.76312170    0.0000000000
  -24.74128576    0.0000000000
  -24.71944981    0.0000000000
  -24.69761386    0.0000000000
  -24.67577792    0.0000000000
  -24.65394197    0.0000000000
  -24.63210602    0.0000000000
  -24.61027007    0.0000000000
  -24.58843413    0.0000000000
  -24.56659818    0.0000000000
  -24.54476223    0.0000000000
  -24.52292629    0.0000000000
  -24.50109034    0.0000000000
  -24.47925439    0.0000000000
  -24.45741844    0.0000000000
  -24.43558250    0.0000000000
  -24.41374655    0.0000000000
  -24.39191060    0.0000000000
  -24.37007465    0.0000000000
  -24.34823871    0.0000000000
  -24.32640276    0.0000000000
  -24.30456681    0.0000000000
  -24.28273087    0.0000000000
  -24.26089492    0.0000000000
  -24.23905897    0.0000000000
  -24.21722302    0.0000000000
  -24.19538708    0.0000000000
  -24.17355113    0.0000000000
  -24.15171518    0.0000000000
  -24.12987924    0.0000000000
  -24.10804329    0.0000000000
  -24.08620734    0.0000000000
  -24.06437139    0.0000000000
  -24.04253545    0.0000000000
  -24.02069950    0.0000000000
  -23.99886355    0.0000000000
  -23.97702761    0.0000000000
  -23.95519166    0.0000000000
  -23.93335571    0.0000000000
  -23.91151976    0.0000000000
  -23.88968382    0.0000000000
  -23.86784787    0.0000000000
  -23.84601192    0.0000000000
  -23.82417598    0.0000000000
  -23.80234003    0.0000000000
  -23.78050408    0.0000000000
  -23.75866813    0.0000000000
  -23.73683219    0.0000000000
  -23.71499624    0.0000000000
  -23.69316029    0.0000000000
  -23.67132435    0.0000000000
  -23.64948840    0.0000000001
  -23.62765245    0.0000000005
  -23.60581650    0.0000000026
  -23.58398056    0.0000000136
  -23.56214461    0.0000000661
  -23.54030866    0.0000003002
  -23.51847272    0.0000012757
  -23.49663677    0.0000050744
  -23.47480082    0.0000188937
  -23.45296487    0.0000658483
  -23.43112893    0.0002148145
  -23.40929298    0.0006559572
  -23.38745703    0.0018749089
  -23.36562108    0.0050162313
  -23.34378514    0.0125622573
  -23.32194919    0.0294476447
  -23.30011324    0.0646139351
  -23.27827730    0.1327072241
  -23.25644135    0.2551265669
  -23.23460540    0.4591023884
  -23.21276945    0.7733145219
  -23.19093351    1.2192577539
  -23.16909756    1.7993996566
  -23.14726161    2.4857216049
  -23.12542567    3.2141792090
  -23.10358972    3.8902761860
  -23.08175377    4.4074107698
  -23.05991782    4.6738994926
  -23.03808188    4.6394655725
  -23.01624593    4.3107147973
  -22.99440998    3.7490684599
  -22.97257404    3.0520398389
  -22.95073809    2.3256790048
  -22.92890214    1.6588308098
  -22.90706619    1.1075087355
  -22.88523025    0.6921256980
  -22.86339430    0.4048699419
  -22.84155835    0.2216862938
  -22.81972241    0.1136200293
  -22.79788646    0.0545084331
  -22.77605051    0.0244773978
  -22.75421456    0.0102886772
  -22.73237862    0.0040480566
  -22.71054267    0.0014908240
  -22.68870672    0.0005139240
  -22.66687078    0.0001658304
  -22.64503483    0.0000500867
  -22.62319888    0.0000141603
