#  Energy (eV) |  DOS (states/eV)
  -26.73076123    0.0000000000
  -26.70947283    0.0000000000
  -26.68818443    0.0000000000
  -26.66689603    0.0000000000
  -26.64560763    0.0000000000
  -26.62431923    0.0000000000
  -26.60303083    0.0000000000
  -26.58174243    0.0000000000
  -26.56045404    0.0000000000
  -26.53916564    0.0000000000
  -26.51787724    0.0000000000
  -26.49658884    0.0000000000
  -26.47530044    0.0000000000
  -26.45401204    0.0000000000
  -26.43272364    0.0000000000
  -26.41143524    0.0000000000
  -26.39014684    0.0000000000
  -26.36885844    0.0000000000
  -26.34757004    0.0000000000
  -26.32628164    0.0000000000
  -26.30499324    0.0000000000
  -26.28370484    0.0000000000
  -26.26241644    0.0000000000
  -26.24112804    0.0000000000
  -26.21983964    0.0000000000
  -26.19855124    0.0000000000
  -26.17726285    0.0000000000
  -26.15597445    0.0000000000
  -26.13468605    0.0000000000
  -26.11339765    0.0000000000
  -26.09210925    0.0000000000
  -26.07082085    0.0000000000
  -26.04953245    0.0000000000
  -26.02824405    0.0000000000
  -26.00695565    0.0000000000
  -25.98566725    0.0000000000
  -25.96437885    0.0000000000
  -25.94309045    0.0000000000
  -25.92180205    0.0000000000
  -25.90051365    0.0000000000
  -25.87922525    0.0000000000
  -25.85793685    0.0000000000
  -25.83664845    0.0000000000
  -25.81536006    0.0000000000
  -25.79407166    0.0000000000
  -25.77278326    0.0000000000
  -25.75149486    0.0000000000
  -25.73020646    0.0000000000
  -25.70891806    0.0000000000
  -25.68762966    0.0000000000
  -25.66634126    0.0000000000
  -25.64505286    0.0000000000
  -25.62376446    0.0000000000
  -25.60247606    0.0000000000
  -25.58118766    0.0000000000
  -25.55989926    0.0000000000
  -25.53861086    0.0000000000
  -25.51732246    0.0000000000
  -25.49603406    0.0000000000
  -25.47474566    0.0000000000
  -25.45345726    0.0000000000
  -25.43216887    0.0000000000
  -25.41088047    0.0000000000
  -25.38959207    0.0000000000
  -25.36830367    0.0000000000
  -25.34701527    0.0000000000
  -25.32572687    0.0000000000
  -25.30443847    0.0000000000
  -25.28315007    0.0000000000
  -25.26186167    0.0000000000
  -25.24057327    0.0000000000
  -25.21928487    0.0000000000
  -25.19799647    0.0000000000
  -25.17670807    0.0000000000
  -25.15541967    0.0000000000
  -25.13413127    0.0000000000
  -25.11284287    0.0000000000
  -25.09155447    0.0000000000
  -25.07026608    0.0000000000
  -25.04897768    0.0000000000
  -25.02768928    0.0000000000
  -25.00640088    0.0000000000
  -24.98511248    0.0000000000
  -24.96382408    0.0000000000
  -24.94253568    0.0000000000
  -24.92124728    0.0000000000
  -24.89995888    0.0000000000
  -24.87867048    0.0000000000
  -24.85738208    0.0000000000
  -24.83609368    0.0000000000
  -24.81480528    0.0000000000
  -24.79351688    0.0000000000
  -24.77222848    0.0000000000
  -24.75094008    0.0000000000
  -24.72965168    0.0000000000
  -24.70836328    0.0000000000
  -24.68707489    0.0000000000
  -24.66578649    0.0000000000
  -24.64449809    0.0000000000
  -24.62320969    0.0000000000
  -24.60192129    0.0000000000
  -24.58063289    0.0000000000
  -24.55934449    0.0000000000
  -24.53805609    0.0000000000
  -24.51676769    0.0000000000
  -24.49547929    0.0000000000
  -24.47419089    0.0000000000
  -24.45290249    0.0000000000
  -24.43161409    0.0000000000
  -24.41032569    0.0000000000
  -24.38903729    0.0000000000
  -24.36774889    0.0000000000
  -24.34646049    0.0000000000
  -24.32517210    0.0000000001
  -24.30388370    0.0000000006
  -24.28259530    0.0000000032
  -24.26130690    0.0000000158
  -24.24001850    0.0000000732
  -24.21873010    0.0000003190
  -24.19744170    0.0000013049
